编号,异常分类,异常场景名称,详细描述与实验复现方法
1,感知与目标层,目标缺失 (Target Missing),任务启动后，预定抓取区域内没有目标物体（如已被提前拿走）。
2,,类别/属性错误 (Wrong Object),目标区域出现非预期物体（如颜色、形状或类别不符）。
3,,严重遮挡 (Heavy Occlusion),目标被其他杂物完全或大部分遮挡，导致相机无法直接计算抓取位姿。
4,,位姿突变 (Sudden Pose Shift),机械臂在接近目标过程中，目标由于外力发生位移或滚动。
5,,物体变形异常 (Deformation),抓取柔软或易碎物体（如纸杯）时过度挤压导致物体变形失效。
6,物理执行层,抓取滑落 (Grasp Slip),夹爪闭合提升阶段，由于摩擦力不足或抓取点不佳导致物体滑落。
7,,静态碰撞 (Static Collision),机械臂运动轨迹与环境（如桌面、料箱边缘、障碍物）发生非预期物理接触。
8,,奇异点/限位 (Singularity),逆运动学规划导致机械臂达到奇异点或关节角度达到极限（Joint Limit）。
9,,力矩超限 (Torque Overload),提升过重物体或遭遇机械卡死，导致电机力矩超过安全阈值。
10,,末端卡死 (Gripper Jam),夹爪因异物卡住或硬件故障，无法完全闭合或张开。
11,环境与干扰层,动态障碍物侵入 (Intrusion),人类手臂或移动机器人突然进入机械臂当前的工作空间。
12,,光照突变 (Illumination Change),外部光源剧烈变化（如突然暗场、强光直射），导致视觉传感器过曝或失真。
13,,台面物理漂移 (Base Drift),机械臂底座或放置工作台由于螺丝松动或外力发生微小位移或倾斜。
14,,吸盘负压失效 (Suction Failure),若使用气动吸盘，因物体表面不平整导致气压无法建立或中途漏气。
15,,空中推搡 (Mid-air Disturbance),机械臂在空中运送物体时，受到瞬间的外力撞击（如人工推搡臂体）。
16,任务与语义层,前置条件未满足 (Pre-requisite),试图在容器未打开的情况下将物体放入（如瓶盖没开就尝试倒水）。
17,,动作时序错乱 (Sequence Desync),夹爪尚未完全闭合，控制层已启动提升动作（多见于通信延迟）。
18,,放置区空间不足 (Area Full),目标放置点已被其他物体占用，无法安全放置。
19,,工具/夹具掉落 (Tool Dropping),机械臂在使用外接工具（如拧螺丝枪）时，工具从末端脱落。
20,,任务语义歧义 (Ambiguity),接收到自相矛盾的指令，高层语义解析器无法给出唯一确定合法的动作。


